"Avatar","AvatarName","Comments","NumViews","UserName","UserURL"
"8999","NadiaSydney","I just want to sync my mac calendar with iPhone 6","17","NadiaSydney","/people/NadiaSydney"
"8999","NadiaSydney","my iPhone ES will not sync via my mac since its last update IOS 10.2","15","NadiaSydney","/people/NadiaSydney"
"8999","NadiaSydney","how long does it take to restore an iphone via itunes","28","NadiaSydney","/people/NadiaSydney"
"8999","masoudeshaghi","My iPhone SE will not play videos/sounds.","236","masoudeshaghi","/people/masoudeshaghi"
"8999","masoudeshaghi","My email app won't open.","8","masoudeshaghi","/people/masoudeshaghi"
"8999","Jatmister","why my iphone have chinese character","26","Jatmister","/people/Jatmister"
"8999","Aleutangel","I am texting another iPhone and the text is coming up in green box what do I do to fix this issue?","25","Aleutangel","/people/Aleutangel"
"8999","Aleutangel","Won't Accept My Credit","23","Aleutangel","/people/Aleutangel"
"1154","Chris CA","Deleted texts take storage space","4","Chris%20CA","/people/Chris%20CA"
"8999","PineDog561","how to register remote play for ps3 in my iPhone 6","7","PineDog561","/people/PineDog561"
"8999","PineDog561","delete texts but still loses memory","5","PineDog561","/people/PineDog561"
"1154","Chris CA","Problems with Messages App.","13","Chris%20CA","/people/Chris%20CA"
"8999","iHandicapped","How can I get the ringer notification to stop popping up all the time when I'm using Bluetooth?","5","iHandicapped","/people/iHandicapped"
"8999","iHandicapped","virus on iphone7","22","iHandicapped","/people/iHandicapped"
"8999","asudrewOUSooners","iPhone repeat iTunes sign in","3","asudrewOUSooners","/people/asudrewOUSooners"
"8999","asudrewOUSooners","How to set up a remote play in my iPhone I understand how to do it in my PS3 wine but I am to you how to set it up in my settings on my iPhone","3","asudrewOUSooners","/people/asudrewOUSooners"
"8999","iHandicapped","How do I add a friend to game center in IOS 10?","48,119","iHandicapped","/people/iHandicapped"
"8999","iHandicapped","My Iphone7 make a clicking noise when i slide the notification bar and press homescreen","8","iHandicapped","/people/iHandicapped"
"8999","lindafrombend","Replying to text on lock screen, disappears when unlocking phone or call comes in","37","lindafrombend","/people/lindafrombend"
"8999","lindafrombend","iPhone 7 Plus Phone Call Sound Quality","44,792","lindafrombend","/people/lindafrombend"
"1090","Jesse_K","Activation lock password not working even after password reset","17","Jesse_K","/people/Jesse_K"
"8999","JLTucker","TV App Downloads Movies and TV Shows Onto Phone/Tablet","19","JLTucker","/people/JLTucker"
"8999","JLTucker","Please help: 5 months, 3 iphones, no solution","3","JLTucker","/people/JLTucker"
"2316","gail from maine","A few people are not receiving texts from my phone, but I can receive text from them","12","gail%20from%20maine","/people/gail%20from%20maine"
"8999","ppmalliard","Unable to move/delete apps - iPhone7","98,864","ppmalliard","/people/ppmalliard"
"8999","ppmalliard","how do i get rid of the transcript voice mails?  I like hearing voice mails not reading them","19","ppmalliard","/people/ppmalliard"
"8999","deagle3103","iOS 10 has left me with no memory!","28,037","deagle3103","/people/deagle3103"
"8999","deagle3103","Issues watching movie using TV on the iPad Air 2 and IPhone 6+","9","deagle3103","/people/deagle3103"
"8999","A F Brandt","is iphone 7 covers the water damage under warranty","17","A%20F%20Brandt","/people/A%20F%20Brandt"
"8999","A F Brandt","Not able to search gif pictures in imessage","19","A%20F%20Brandt","/people/A%20F%20Brandt"
"8999","Ragin15","How do i change the contact phone number in imessage","19","Ragin15","/people/Ragin15"
"8999","rbrown61","I am texting another iPhone and the text is coming up in green box what do I do to fix this issue?","25","rbrown61","/people/rbrown61"
"8999","rbrown61","Won't Accept My Credit","23","rbrown61","/people/rbrown61"
"1135","Klotar","Deleted texts take storage space","4","Klotar","/people/Klotar"
"8999","JessG1903","how to register remote play for ps3 in my iPhone 6","7","JessG1903","/people/JessG1903"
"8999","JessG1903","delete texts but still loses memory","5","JessG1903","/people/JessG1903"
"8999","SirColoradoGecko","How do I change the name of my device?  I have gone into my account via Apple ID and changes it there as well as in Settings>General>About and it still is inco ...","6","SirColoradoGecko","/people/SirColoradoGecko"
"8999","SirColoradoGecko","IPhone 6 Cold Weather Shut Down","620","SirColoradoGecko","/people/SirColoradoGecko"
"8999","XontheP","Horizontal color line while resetting the phone","7","XontheP","/people/XontheP"
"8999","XontheP","a/v adapter not working on iPhone 6 Plus","7","XontheP","/people/XontheP"
"8999","buzznet","apple touch id doesnt work on my iphone","7","buzznet","/people/buzznet"
"1087","kukretianjali","Why is there a scroll there and where the **** is it getting what to scroll?","9","kukretianjali","/people/kukretianjali"
"1087","kukretianjali","Ios 10.2 draining battery FAST!","20,292","kukretianjali","/people/kukretianjali"
"8999","TiKoOo","what can I do to log back in?","5","TiKoOo","/people/TiKoOo"
"8999","Lebnor","I want to verify whether my iphone is original or not","5","Lebnor","/people/Lebnor"
"8999","Lebnor","iMessage cuts off our landline calls","8","Lebnor","/people/Lebnor"
"8999","Lowrider0126","Can I turn off voicemail transcription","15","Lowrider0126","/people/Lowrider0126"
"8999","Lowrider0126","music app crash when playing playlist based on song ratings post ios10.2 update","22","Lowrider0126","/people/Lowrider0126"
"8999","Jp00728","IP adress in website data?","9","Jp00728","/people/Jp00728"
"8999","Jp00728","iPhone 6 Battery dies at 100 percent?","24","Jp00728","/people/Jp00728"
"8999","thosflint","no photos but over 5gigs are being used how do I fix this","9","thosflint","/people/thosflint"
"8999","Gia @","ID Pasword  and Mail lost together","6","Gia%20%40","/people/Gia%20%40"
"8999","Gia @","How do I reboot  an iphone 7","8","Gia%20%40","/people/Gia%20%40"
"8999","Gia @","I need help with my iPhone","12","Gia%20%40","/people/Gia%20%40"
"8999","ebgruvn","Turn off passcode for phone calls","11","ebgruvn","/people/ebgruvn"
"8999","ebgruvn","iPhone Activation","13","ebgruvn","/people/ebgruvn"
"1243","JackT44","backup over mobile data, why is this not allowed, is there a way to turn it on? Broadband upload speeds are pitiful in comparison making the backup ridiculously time cons ...","61","JackT44","/people/JackT44"
"1088","manny360needs~ipad","Plz help me how can I add google account to Game Center ???","6","manny360needs~ipad","/people/manny360needs~ipad"
"1088","manny360needs~ipad","Apple Genius Bar?","16","manny360needs~ipad","/people/manny360needs~ipad"
"8999","LucoBrasi","i massage and Facetime","16","LucoBrasi","/people/LucoBrasi"
"8999","vavavanessa","Game pigeon won't work","1,421","vavavanessa","/people/vavavanessa"
"8999","vavavanessa","Sometimes my alarm will only vibrate instead of beeping the sound as it should","6","vavavanessa","/people/vavavanessa"
"1205","DyaaEldein","Birthday calendar duplicated hundreds of times on iOS 10","6,105","DyaaEldein","/people/DyaaEldein"
"8999","Shoafy222","How can I find deleted messages on here?","25","Shoafy222","/people/Shoafy222"
"8999","Shoafy222","iOS 10 - Phone favorites all messed up","53","Shoafy222","/people/Shoafy222"
"8999","LucoBrasi","Add a second phone to my find my phone","14","LucoBrasi","/people/LucoBrasi"
"8999","Ted Xu","BlueTooth devices cannot be re-found in 10.2","2","Ted%20Xu","/people/Ted%20Xu"
"8999","Ted Xu","Just updated to IOS 10 and text replacement is not working","10,350","Ted%20Xu","/people/Ted%20Xu"
"8999","Gandy69","how i can add new ringingtone to my iphone 7 plus","2","Gandy69","/people/Gandy69"
"8999","Gandy69","AirPods disconnects on calls","4,566","Gandy69","/people/Gandy69"
"1116","whitesnake29","iPhone 6 keeps crashing after iOS 10.2 update","1,605","whitesnake29","/people/whitesnake29"
"8999","Mehdi1972","move data when iphone its not on setup","2","Mehdi1972","/people/Mehdi1972"
"8999","Mehdi1972","ID Pasword  and Mail lost together","11","Mehdi1972","/people/Mehdi1972"
"1199","SebasKretz","phishing SMS","4","SebasKretz","/people/SebasKretz"
"1199","SebasKretz","Why have I been invoiced a second time for ringtone for my iphone?","3","SebasKretz","/people/SebasKretz"
"8999","dominiquefromclermont ferrand","Hey my iphone is uncharching it self","4","dominiquefromclermont%20ferrand","/people/dominiquefromclermont%20ferrand"
"8999","Lauramac112 ","my account is compromised can anyone help right now?","4","Lauramac112%20","/people/Lauramac112%20"
"8999","Lauramac112 ","iPhone diary","2","Lauramac112%20","/people/Lauramac112%20"
"8999","BobMac007","how to copy sms from iphone to my pc","5","BobMac007","/people/BobMac007"
"8999","barokshaaban","I am facing an issue on iphone 4s with WhatsApp. I get whatsapp notification that I have got a message, but when I open whatsapp and the chat, I do not see the message at ...","4","barokshaaban","/people/barokshaaban"
"8999","barokshaaban","'Add to existing contact' iOS update","5","barokshaaban","/people/barokshaaban"
